category,service,waiting.time.minutes,session.minutes,customer.demeanor,resolved
Service,Phone,3.64740648998984,10.454402086082,Neutral,TRUE
Tickets,Phone,9.51050599407293,9.2506940115568,Negative,TRUE
Service,Phone,3.36267450970199,9.65049410151659,Nice,TRUE
Tickets,Online,17.9323244136398,6.31154461174994,Nice,TRUE
Technology,Phone,7.80008217906711,11.2352794409206,Negative,TRUE
Service,Online,6.7477172238034,11.1629775717843,Negative,TRUE
Service,Phone,6.55703274495158,8.28979657770951,Neutral,TRUE
Service,Online,11.460445601189,9.4325270206917,Neutral,TRUE
Tickets,Online,1.23614785046691,9.2347362680093,Negative,TRUE
Tickets,Phone,0.890699580437982,5.52383012106259,Neutral,TRUE
Tickets,Phone,9.42825640047554,4.97705755432851,Neutral,TRUE
Tickets,Phone,14.1265683887643,6.44940110830357,Neutral,TRUE
Tickets,Online,16.3288351853465,5.73015248866004,Nice,TRUE
Tickets,Phone,8.04879620628288,7.0232824317531,Neutral,TRUE
Tickets,Phone,16.6658435170224,6.35560855113632,Neutral,TRUE
Tickets,Online,15.6547723203911,6.70474152273207,Nice,TRUE
Scheduling Change,Phone,7.40540573830961,7.97674685656077,Nice,TRUE
Technology,Phone,8.322751379405,8.32877330312916,Nice,TRUE
Tickets,Phone,1.03764462136872,6.54781104625397,Neutral,TRUE
Tickets,Phone,3.65036786297153,6.98988616668313,Nice,TRUE
Technology,Online,0.990393775178738,11.4547809664642,Negative,FALSE
Service,Phone,6.42975279608602,9.13380695967111,Nice,TRUE
Tickets,Phone,3.75641208808526,6.28733340611283,Neutral,TRUE
Service,Phone,0.878130747396581,10.0900081987723,Nice,TRUE
Tickets,Phone,3.70691352390554,6.59580304891115,Nice,TRUE
Tickets,Phone,6.6299003457873,7.80888660673169,Nice,TRUE
Technology,Phone,15.1867656214047,8.90511378947736,Nice,TRUE
Technology,Online,1.02681602234443,7.24619996366313,Neutral,TRUE
Tickets,Phone,8.82750676530975,6.23405476808487,Nice,TRUE
Service,Phone,6.8162785765458,10.019427299454,Nice,TRUE
Technology,Phone,8.80470307692005,9.48858054468033,Nice,FALSE
Tickets,Online,9.77080097510761,11.6424675458966,Negative,TRUE
Tickets,Phone,8.57822504986742,5.85723672004485,Neutral,TRUE
Tickets,Phone,9.11911536416077,7.47063464181569,Nice,TRUE
Scheduling Change,Phone,2.84665537622865,9.2065885151298,Nice,TRUE
Service,Phone,13.2700715805711,10.9127913204223,Nice,FALSE
Tickets,Online,6.56288519790635,5.46928956945273,Nice,TRUE
Technology,Phone,3.97719124056541,8.81030470633749,Neutral,TRUE
Technology,Phone,5.80392566360644,11.3234068103081,Negative,TRUE
Scheduling Change,Phone,9.62472985370373,9.30314623288915,Negative,TRUE
Technology,Phone,7.3539820617748,9.08247667314462,Nice,TRUE
Tickets,Phone,4.05056032286542,7.35124729239831,Neutral,FALSE
Tickets,Phone,13.3074491896871,10.1162862100757,Negative,FALSE
Scheduling Change,Phone,6.67770094488665,6.90727714189286,Neutral,TRUE
Tickets,Phone,3.34973616424853,5.9132665213033,Neutral,TRUE
Service,Phone,7.21499640630187,12.0121167682356,Negative,TRUE
Scheduling Change,Phone,0.881961026333212,7.18176127972791,Nice,FALSE
Tickets,Online,15.3322834597542,4.72481617675577,Nice,TRUE
Tickets,Phone,3.91977107032132,5.51259329130436,Neutral,TRUE
Service,Online,14.6329845130577,8.63440795365539,Neutral,FALSE
Tickets,Phone,8.97784899310904,5.37832699189101,Neutral,TRUE
Tickets,Phone,6.55336160853026,6.56817651867658,Neutral,FALSE
Service,Online,17.0800797463851,8.76144303874562,Nice,FALSE
Tickets,Phone,3.500907497378,6.52273307273813,Nice,TRUE
Scheduling Change,Online,1.16004917399929,7.39452331542977,Nice,TRUE
Tickets,Phone,3.48148640659831,6.60311438895926,Neutral,FALSE
Tickets,Phone,15.8934009451019,6.5874279849289,Nice,TRUE
Scheduling Change,Phone,15.5537197721782,7.25276879158847,Nice,TRUE
Tickets,Phone,0.64670628826748,8.06613985422744,Nice,TRUE
Service,Phone,6.52601193364473,8.8234887941217,Neutral,FALSE
Tickets,Phone,6.53995184733714,10.9979994320062,Negative,TRUE
Service,Phone,1.0037878085097,9.02022759753074,Nice,TRUE
Scheduling Change,Online,0.99630652975295,7.07754216104476,Neutral,TRUE
Service,Phone,1.14431689045279,10.5528800957487,Neutral,TRUE
Service,Phone,3.22688353596631,9.19518021776828,Neutral,TRUE
Scheduling Change,Phone,13.9351470763459,6.99137238837498,Neutral,TRUE
Tickets,Phone,14.2956614018601,4.74160828560411,Neutral,TRUE
Service,Online,7.27827862805978,7.33127285841603,Nice,TRUE
